"","county_fips","county_name","state_name","state_id","population","id"
"364","12081","Manatee","Florida","FL",13,"12081"
"365","12083","Marion","Florida","FL",2,"12083"
"366","12085","Martin","Florida","FL",1,"12085"
"367","12086","Miami-Dade","Florida","FL",56,"12086"
"368","12087","Monroe","Florida","FL",2,"12087"
"369","12089","Nassau","Florida","FL",3,"12089"
"370","12091","Okaloosa","Florida","FL",8,"12091"
"371","12093","Okeechobee","Florida","FL",0,"12093"
"372","12095","Orange","Florida","FL",34,"12095"
"373","12097","Osceola","Florida","FL",12,"12097"
"374","12099","Palm Beach","Florida","FL",38,"12099"
"375","12101","Pasco","Florida","FL",5,"12101"
"376","12103","Pinellas","Florida","FL",18,"12103"
"377","12105","Polk","Florida","FL",7,"12105"
"378","12107","Putnam","Florida","FL",1,"12107"
"379","12109","St. Johns","Florida","FL",13,"12109"
"380","12111","St. Lucie","Florida","FL",3,"12111"
"381","12113","Santa Rosa","Florida","FL",2,"12113"
"382","12115","Sarasota","Florida","FL",7,"12115"
"383","12117","Seminole","Florida","FL",23,"12117"
"384","12119","Sumter","Florida","FL",0,"12119"
"385","12121","Suwannee","Florida","FL",0,"12121"
"386","12123","Taylor","Florida","FL",0,"12123"
"387","12125","Union","Florida","FL",0,"12125"
"388","12127","Volusia","Florida","FL",11,"12127"
"389","12129","Wakulla","Florida","FL",0,"12129"
"390","12131","Walton","Florida","FL",2,"12131"
"391","12133","Washington","Florida","FL",1,"12133"
"392","13001","Appling","Georgia","GA",0,"13001"
"393","13003","Atkinson","Georgia","GA",0,"13003"
"394","13005","Bacon","Georgia","GA",10,"13005"
"395","13007","Baker","Georgia","GA",0,"13007"
"396","13009","Baldwin","Georgia","GA",0,"13009"
"397","13011","Banks","Georgia","GA",0,"13011"
"398","13013","Barrow","Georgia","GA",3,"13013"
"399","13015","Bartow","Georgia","GA",0,"13015"
"400","13017","Ben Hill","Georgia","GA",3,"13017"
"401","13019","Berrien","Georgia","GA",0,"13019"
"402","13021","Bibb","Georgia","GA",1,"13021"
"403","13023","Bleckley","Georgia","GA",1,"13023"
"404","13025","Brantley","Georgia","GA",0,"13025"
"405","13027","Brooks","Georgia","GA",0,"13027"
"406","13029","Bryan","Georgia","GA",2,"13029"
"407","13031","Bulloch","Georgia","GA",2,"13031"
"408","13033","Burke","Georgia","GA",0,"13033"
"409","13035","Butts","Georgia","GA",0,"13035"
"410","13037","Calhoun","Georgia","GA",0,"13037"
"411","13039","Camden","Georgia","GA",1,"13039"
"412","13043","Candler","Georgia","GA",0,"13043"
"413","13045","Carroll","Georgia","GA",2,"13045"
"414","13047","Catoosa","Georgia","GA",1,"13047"
"415","13049","Charlton","Georgia","GA",0,"13049"
"416","13051","Chatham","Georgia","GA",9,"13051"
"417","13053","Chattahoochee","Georgia","GA",1,"13053"
"418","13055","Chattooga","Georgia","GA",0,"13055"
"419","13057","Cherokee","Georgia","GA",8,"13057"
"420","13059","Clarke","Georgia","GA",2,"13059"
"421","13061","Clay","Georgia","GA",0,"13061"
"422","13063","Clayton","Georgia","GA",2,"13063"
"423","13065","Clinch","Georgia","GA",0,"13065"
"424","13067","Cobb","Georgia","GA",37,"13067"
"425","13069","Coffee","Georgia","GA",1,"13069"
"426","13071","Colquitt","Georgia","GA",0,"13071"
"427","13073","Columbia","Georgia","GA",1,"13073"
"428","13075","Cook","Georgia","GA",0,"13075"
"429","13077","Coweta","Georgia","GA",4,"13077"
"430","13079","Crawford","Georgia","GA",3,"13079"
"431","13081","Crisp","Georgia","GA",0,"13081"
"432","13083","Dade","Georgia","GA",0,"13083"
"433","13085","Dawson","Georgia","GA",0,"13085"
"434","13087","Decatur","Georgia","GA",0,"13087"
"435","13089","DeKalb","Georgia","GA",52,"13089"
"436","13091","Dodge","Georgia","GA",1,"13091"
"437","13093","Dooly","Georgia","GA",0,"13093"
"438","13095","Dougherty","Georgia","GA",0,"13095"
"439","13097","Douglas","Georgia","GA",1,"13097"
"440","13099","Early","Georgia","GA",0,"13099"
"441","13101","Echols","Georgia","GA",0,"13101"
"442","13103","Effingham","Georgia","GA",0,"13103"
"443","13105","Elbert","Georgia","GA",0,"13105"
"444","13107","Emanuel","Georgia","GA",15,"13107"
"445","13109","Evans","Georgia","GA",0,"13109"
"446","13111","Fannin","Georgia","GA",0,"13111"
"447","13113","Fayette","Georgia","GA",11,"13113"
"448","13115","Floyd","Georgia","GA",1,"13115"
"449","13117","Forsyth","Georgia","GA",16,"13117"
"450","13119","Franklin","Georgia","GA",1,"13119"
"451","13121","Fulton","Georgia","GA",105,"13121"
"452","13123","Gilmer","Georgia","GA",0,"13123"
"453","13125","Glascock","Georgia","GA",0,"13125"
"454","13127","Glynn","Georgia","GA",5,"13127"
"455","13129","Gordon","Georgia","GA",0,"13129"
"456","13131","Grady","Georgia","GA",0,"13131"
"457","13133","Greene","Georgia","GA",0,"13133"
"458","13135","Gwinnett","Georgia","GA",58,"13135"
"459","13137","Habersham","Georgia","GA",0,"13137"
"460","13139","Hall","Georgia","GA",1,"13139"
"461","13141","Hancock","Georgia","GA",0,"13141"
"462","13143","Haralson","Georgia","GA",0,"13143"
"463","13145","Harris","Georgia","GA",0,"13145"
"464","13147","Hart","Georgia","GA",0,"13147"
"465","13149","Heard","Georgia","GA",0,"13149"
"466","13151","Henry","Georgia","GA",2,"13151"
"467","13153","Houston","Georgia","GA",17,"13153"
"468","13155","Irwin","Georgia","GA",0,"13155"
"469","13157","Jackson","Georgia","GA",4,"13157"
"470","13159","Jasper","Georgia","GA",0,"13159"
"471","13161","Jeff Davis","Georgia","GA",2,"13161"
"472","13163","Jefferson","Georgia","GA",0,"13163"
"473","13165","Jenkins","Georgia","GA",0,"13165"
"474","13167","Johnson","Georgia","GA",0,"13167"
"475","13169","Jones","Georgia","GA",1,"13169"
"476","13171","Lamar","Georgia","GA",0,"13171"
"477","13173","Lanier","Georgia","GA",0,"13173"
"478","13175","Laurens","Georgia","GA",2,"13175"
"479","13177","Lee","Georgia","GA",0,"13177"
"480","13179","Liberty","Georgia","GA",1,"13179"
"481","13181","Lincoln","Georgia","GA",0,"13181"
"482","13183","Long","Georgia","GA",0,"13183"
"483","13185","Lowndes","Georgia","GA",2,"13185"
"484","13187","Lumpkin","Georgia","GA",0,"13187"
"485","13189","McDuffie","Georgia","GA",0,"13189"
"486","13191","McIntosh","Georgia","GA",0,"13191"
"487","13193","Macon","Georgia","GA",0,"13193"
"488","13195","Madison","Georgia","GA",0,"13195"
"489","13197","Marion","Georgia","GA",0,"13197"
"490","13199","Meriwether","Georgia","GA",0,"13199"
"491","13201","Miller","Georgia","GA",0,"13201"
"492","13205","Mitchell","Georgia","GA",2,"13205"
"493","13207","Monroe","Georgia","GA",0,"13207"
"494","13209","Montgomery","Georgia","GA",0,"13209"
"495","13211","Morgan","Georgia","GA",0,"13211"
"496","13213","Murray","Georgia","GA",0,"13213"
"497","13215","Muscogee","Georgia","GA",1,"13215"
"498","13217","Newton","Georgia","GA",5,"13217"
"499","13219","Oconee","Georgia","GA",0,"13219"
"500","13221","Oglethorpe","Georgia","GA",1,"13221"
"501","13223","Paulding","Georgia","GA",0,"13223"
"502","13225","Peach","Georgia","GA",0,"13225"
"503","13227","Pickens","Georgia","GA",0,"13227"
"504","13229","Pierce","Georgia","GA",0,"13229"
"505","13231","Pike","Georgia","GA",0,"13231"
"506","13233","Polk","Georgia","GA",0,"13233"
"507","13235","Pulaski","Georgia","GA",0,"13235"
"508","13237","Putnam","Georgia","GA",0,"13237"
"509","13239","Quitman","Georgia","GA",0,"13239"
"510","13241","Rabun","Georgia","GA",1,"13241"
"511","13243","Randolph","Georgia","GA",1,"13243"
"512","13245","Richmond","Georgia","GA",2,"13245"
"513","13247","Rockdale","Georgia","GA",6,"13247"
"514","13249","Schley","Georgia","GA",0,"13249"
"515","13251","Screven","Georgia","GA",0,"13251"
"516","13253","Seminole","Georgia","GA",0,"13253"
"517","13255","Spalding","Georgia","GA",2,"13255"
"518","13257","Stephens","Georgia","GA",0,"13257"
"519","13259","Stewart","Georgia","GA",0,"13259"
"520","13261","Sumter","Georgia","GA",0,"13261"
"521","13263","Talbot","Georgia","GA",0,"13263"
"522","13265","Taliaferro","Georgia","GA",0,"13265"
"523","13267","Tattnall","Georgia","GA",0,"13267"
"524","13269","Taylor","Georgia","GA",1,"13269"
"525","13271","Telfair","Georgia","GA",0,"13271"
"526","13273","Terrell","Georgia","GA",0,"13273"
"527","13275","Thomas","Georgia","GA",1,"13275"
"528","13277","Tift","Georgia","GA",0,"13277"
"529","13279","Toombs","Georgia","GA",0,"13279"
"530","13281","Towns","Georgia","GA",0,"13281"
"531","13283","Treutlen","Georgia","GA",0,"13283"
"532","13285","Troup","Georgia","GA",0,"13285"
"533","13287","Turner","Georgia","GA",0,"13287"
"534","13289","Twiggs","Georgia","GA",1,"13289"
