zipCode,population,year
15007,4,2022
15008,4,2022
15009,3,2022
15011,2,2022
15013,1,2022
15017,2,2022
15023,1,2022
15025,2,2022
15041,1,2022
15044,2,2022
15057,3,2022
15063,1,2022
15064,1,2022
15068,1,2022
15071,1,2022
15073,1,2022
15076,2,2022
15086,1,2022
15087,1,2022
15090,4,2022
15100,1,2022
15102,1,2022
15106,1,2022
15108,3,2022
15116,1,2022
15120,1,2022
15127,1,2022
15132,1,2022
15143,6,2022
15145,2,2022
15148,1,2022
15200,4,2022
15201,1,2022
15202,1,2022
15203,1,2022
15207,1,2022
15210,2,2022
15211,3,2022
15214,1,2022
15215,1,2022
15217,2,2022
15221,1,2022
15222,2,2022
15224,1,2022
15225,1,2022
15227,2,2022
15228,4,2022
15234,1,2022
15237,3,2022
15238,1,2022
15239,3,2022
15241,2,2022
15301,1,2022
15310,1,2022
15314,1,2022
15317,3,2022
15318,1,2022
15321,1,2022
15322,1,2022
15323,1,2022
15331,1,2022
15334,2,2022
15338,1,2022
15367,2,2022
15372,1,2022
15400,3,2022
15412,2,2022
15430,1,2022
15521,1,2022
15615,1,2022
15631,1,2022
15642,2,2022
15644,1,2022
15650,3,2022
15700,2,2022
15701,1,2022
15800,2,2022
15810,4,2022
15820,2,2022
15825,1,2022
15859,1,2022
15874,1,2022
15894,1,2022
15901,1,2022
15909,1,2022
15994,1,2022
15995,1,2022
15996,1,2022
16000,3,2022
16001,4,2022
16002,3,2022
16003,4,2022
16004,1,2022
16005,1,2022
16006,1,2022
16007,1,2022
16010,3,2022
16012,1,2022
16025,1,2022
16043,1,2022
16046,6,2022
16049,1,2022
16066,2,2022
16100,1,2022
16103,1,2022
16127,2,2022
16140,1,2022
16143,1,2022
16144,1,2022
16145,1,2022
16148,1,2022
16222,1,2022
16223,1,2022
16229,1,2022
16230,1,2022
16242,1,2022
16325,1,2022
16331,1,2022
16336,1,2022
16345,1,2022
16361,2,2022
16392,1,2022
16402,1,2022
16412,1,2022
16415,1,2022
16417,1,2022
16421,1,2022
16438,1,2022
16505,1,2022
16506,1,2022
16507,1,2022
16509,1,2022
16511,1,2022
16513,1,2022
16514,1,2022
16583,1,2022
16601,1,2022
16668,1,2022
16673,1,2022
16689,1,2022
16700,1,2022
16707,1,2022
16708,1,2022
16709,1,2022
16801,2,2022
16802,1,2022
16803,2,2022
16804,1,2022
16807,1,2022
16811,2,2022
16822,3,2022
16853,1,2022
16870,1,2022
16873,1,2022
16874,1,2022
16875,1,2022
16886,1,2022
16899,1,2022
16900,1,2022
16925,1,2022
16930,1,2022
16931,1,2022
16936,1,2022
16937,1,2022
16978,1,2022
17000,3,2022
17003,1,2022
17011,3,2022
17013,1,2022
17017,1,2022
17018,1,2022
17021,1,2022
17025,1,2022
17033,1,2022
17036,1,2022
17038,1,2022
17042,1,2022
17050,3,2022
17055,1,2022
17056,1,2022
17057,1,2022
